nct_id,sponsor_types,num_collaborators,countries,num_countries,lead_sponsor_type
NCT03783533,OTHER;NIH,1,United States,1,OTHER
NCT01566266,OTHER,0,Netherlands,1,OTHER
NCT00551876,INDUSTRY,0,,0,INDUSTRY
NCT02207140,OTHER,0,Denmark,1,OTHER
NCT03004846,INDUSTRY,0,Germany,1,INDUSTRY
NCT03178942,INDUSTRY,1,United States;El Salvador;Puerto Rico,3,INDUSTRY
NCT04439929,INDUSTRY,0,Germany,1,INDUSTRY
NCT00661479,INDUSTRY,0,United States;France;Germany;Portugal,4,INDUSTRY
NCT04536688,INDUSTRY,0,United States,1,INDUSTRY
NCT02963922,INDUSTRY,0,United States;Canada;Germany;Israel;Italy;Mexico;Turkey (Türkiye),7,INDUSTRY
NCT00728767,OTHER;OTHER_GOV,1,Denmark,1,OTHER
NCT00454259,OTHER,0,France,1,OTHER
NCT03403504,INDUSTRY,0,China,1,INDUSTRY
NCT01490437,OTHER,0,South Korea,1,OTHER
NCT00511940,OTHER;INDUSTRY,2,United States,1,OTHER
NCT01655732,OTHER,1,Pakistan,1,OTHER
NCT02926027,OTHER,1,United States,1,OTHER
NCT00033345,OTHER;NIH,1,United States,1,OTHER
NCT05266261,OTHER,2,South Korea,1,OTHER
NCT04769414,OTHER,0,Egypt,1,OTHER
NCT00913263,INDUSTRY,0,Finland,1,INDUSTRY
NCT02474108,NETWORK,0,Russia,1,NETWORK
NCT01785498,OTHER;UNKNOWN,3,Canada,1,OTHER
NCT01046006,OTHER;NETWORK,1,Greece;Netherlands;Spain,3,OTHER
NCT00003631,OTHER;NIH,1,United States,1,OTHER
NCT00463970,OTHER,3,Norway,1,OTHER
NCT03912922,OTHER,1,Netherlands,1,OTHER
NCT00885599,OTHER,0,Israel,1,OTHER
NCT02720549,OTHER,0,South Korea,1,OTHER
NCT01250275,OTHER,1,Canada,1,OTHER
NCT00567801,OTHER;UNKNOWN,4,Austria;Germany,2,OTHER
NCT04655079,OTHER,0,Italy,1,OTHER
NCT03517748,INDUSTRY,0,,0,INDUSTRY
NCT04553445,OTHER,0,United States,1,OTHER
NCT02181140,OTHER,0,Germany,1,OTHER
NCT01528384,INDUSTRY,0,United States,1,INDUSTRY
NCT04493320,OTHER;NIH,4,United States,1,OTHER
NCT02921776,OTHER;INDUSTRY,1,United States,1,OTHER
NCT00457899,INDUSTRY,0,United Kingdom,1,INDUSTRY
NCT02365389,OTHER,0,,0,OTHER
NCT01026311,OTHER,0,United States,1,OTHER
NCT03677726,OTHER,1,Singapore,1,OTHER
NCT00015834,NIH,0,United States,1,NIH
NCT04633551,OTHER,0,United States,1,OTHER
NCT01432639,OTHER;UNKNOWN,2,Portugal,1,OTHER
NCT02914691,OTHER,0,Denmark,1,OTHER
NCT04435210,OTHER,0,Nigeria,1,OTHER
NCT02878525,OTHER,0,Egypt,1,OTHER
NCT04048551,OTHER;UNKNOWN,1,South Africa,1,OTHER
NCT00676780,OTHER;UNKNOWN,1,United States,1,OTHER
NCT01294839,INDUSTRY,0,China,1,INDUSTRY
NCT01074047,INDUSTRY,0,United States;Australia;Austria;Belgium;Canada;China;Czechia;France;Germany;Israel;Italy;Netherlands;Poland;Russia;South Korea;Spain;Taiwan;United Kingdom,18,INDUSTRY
NCT03637504,OTHER,3,United States,1,OTHER
NCT04016805,INDUSTRY,0,United States,1,INDUSTRY
NCT03246828,OTHER,1,United Kingdom,1,OTHER
NCT04076722,OTHER,0,United States,1,OTHER
NCT01934036,INDUSTRY,0,Spain,1,INDUSTRY
NCT04635358,OTHER,0,France,1,OTHER
NCT02035007,OTHER,0,Switzerland,1,OTHER
NCT02131792,OTHER,0,South Korea,1,OTHER
NCT00320541,INDUSTRY,1,United States;Puerto Rico,2,INDUSTRY
NCT03529747,OTHER,1,United Kingdom,1,OTHER
NCT04484649,OTHER,0,United States,1,OTHER
NCT02048293,OTHER,1,Colombia,1,OTHER
NCT04557280,INDUSTRY,0,United States,1,INDUSTRY
NCT01334086,OTHER;INDUSTRY,1,Canada,1,OTHER
NCT02169154,INDUSTRY,0,United States,1,INDUSTRY
NCT02259348,OTHER,0,United States,1,OTHER
NCT04078386,INDUSTRY,0,China,1,INDUSTRY
NCT02537522,INDUSTRY,0,United States,1,INDUSTRY
NCT06510023,OTHER,0,United States,1,OTHER
NCT01171937,OTHER;NIH,1,United States,1,OTHER
NCT00094692,OTHER;NIH,1,United States,1,OTHER
NCT02328456,OTHER,1,China,1,OTHER
NCT00319254,INDUSTRY,0,United States;Australia;France;Hong Kong;Malta;Poland;Russia;Ukraine,8,INDUSTRY
NCT00493012,OTHER,0,Germany,1,OTHER
NCT00048126,INDUSTRY,0,United States,1,INDUSTRY
NCT02184741,INDUSTRY,0,Japan,1,INDUSTRY
NCT00381342,INDUSTRY,1,United States;India;Puerto Rico;Romania;Russia,5,INDUSTRY
NCT03902314,OTHER,0,United States,1,OTHER
NCT01004328,OTHER,0,United States,1,OTHER
NCT05132335,OTHER_GOV;INDUSTRY,1,Finland,1,OTHER_GOV
NCT02585362,OTHER,0,Switzerland,1,OTHER
NCT02357966,INDUSTRY,0,United States,1,INDUSTRY
NCT02658175,INDUSTRY,1,United States;Brazil;Canada;France;Germany;Israel;Italy;Netherlands;South Africa;Spain;United Kingdom,11,INDUSTRY
NCT00422981,INDUSTRY,0,United States,1,INDUSTRY
NCT01200212,OTHER,0,Germany,1,OTHER
NCT00600756,INDUSTRY,0,Belgium;Brazil;Bulgaria;Costa Rica;Finland;Germany;Italy;Mexico;Portugal;Romania;Russia;Spain;Switzerland;Turkey (Türkiye),14,INDUSTRY
NCT04639492,INDUSTRY,0,Taiwan,1,INDUSTRY
NCT01921972,OTHER;OTHER_GOV,1,,0,OTHER
NCT02274545,NIH,0,United States,1,NIH
NCT01879813,OTHER;INDUSTRY,1,United Kingdom,1,OTHER
NCT00233818,INDUSTRY,0,Netherlands,1,INDUSTRY
NCT01578525,OTHER;UNKNOWN,2,Germany,1,OTHER
NCT02120677,OTHER,0,United States,1,OTHER
NCT01284478,OTHER;INDUSTRY,1,United States,1,OTHER
NCT00509236,INDUSTRY,0,,0,INDUSTRY
NCT04303156,INDUSTRY,0,United States;Germany,2,INDUSTRY
NCT01950689,OTHER,0,United Kingdom,1,OTHER
NCT01986361,INDUSTRY,0,United States,1,INDUSTRY
NCT04284514,INDUSTRY,0,United States,1,INDUSTRY
NCT01698255,OTHER;NIH,1,United States,1,OTHER
NCT02191085,OTHER;UNKNOWN,1,Canada,1,OTHER
NCT00638196,OTHER,0,United States,1,OTHER
NCT04237779,OTHER,0,Turkey (Türkiye),1,OTHER
NCT01773434,INDUSTRY,0,Japan,1,INDUSTRY
NCT03416738,OTHER;NIH,1,United States,1,OTHER
NCT04225936,INDUSTRY,0,United States,1,INDUSTRY
NCT05634265,OTHER,0,Kenya,1,OTHER
NCT01272960,OTHER,1,United States,1,OTHER
NCT02210559,INDUSTRY,0,United States,1,INDUSTRY
NCT01155362,INDUSTRY,1,United States,1,INDUSTRY
NCT04156607,OTHER,0,Turkey (Türkiye),1,OTHER
NCT00480363,OTHER;INDUSTRY,1,Spain,1,OTHER
NCT02301897,INDUSTRY,0,United States,1,INDUSTRY
NCT00003220,OTHER;NIH,1,United States,1,OTHER
NCT02543359,OTHER;NIH,1,United States,1,OTHER
NCT03707795,OTHER,0,United States,1,OTHER
NCT01644396,INDUSTRY,0,Russia,1,INDUSTRY
NCT00337584,OTHER,0,United States,1,OTHER
NCT00601536,INDUSTRY,0,United States,1,INDUSTRY
NCT00938314,INDUSTRY,0,United States;Canada;India,3,INDUSTRY
NCT03478163,OTHER,0,United States,1,OTHER
NCT01383824,INDUSTRY,0,Denmark;Germany;Italy;Spain;United Kingdom,5,INDUSTRY
NCT00000543,NIH,0,,0,NIH
NCT02764008,OTHER,0,Turkey (Türkiye),1,OTHER
NCT01879943,OTHER,0,France,1,OTHER
NCT01581437,OTHER,1,United States,1,OTHER
NCT03603678,INDUSTRY,0,Switzerland;United Kingdom,2,INDUSTRY
NCT03408249,INDUSTRY,0,Canada,1,INDUSTRY
NCT03255083,INDUSTRY,0,Taiwan,1,INDUSTRY
NCT04723667,OTHER,0,Hong Kong,1,OTHER
NCT00629590,INDUSTRY,0,United States,1,INDUSTRY
NCT03686176,OTHER,1,United States,1,OTHER
NCT02491086,OTHER,0,Hong Kong,1,OTHER
NCT00558662,INDUSTRY,1,Belgium;Germany;Netherlands;United Kingdom,4,INDUSTRY
NCT04958655,OTHER,1,United Kingdom,1,OTHER
NCT00655135,INDUSTRY,0,,0,INDUSTRY
NCT02855775,OTHER,0,France,1,OTHER
NCT00196378,INDUSTRY,0,United States,1,INDUSTRY
NCT04057846,OTHER,0,Denmark,1,OTHER
NCT03484247,OTHER_GOV,0,Turkey (Türkiye),1,OTHER_GOV
NCT01861704,INDUSTRY,0,United States,1,INDUSTRY
NCT03025230,OTHER,0,Spain,1,OTHER
NCT01715259,INDUSTRY,0,United States,1,INDUSTRY
NCT03147846,OTHER_GOV,1,Saudi Arabia,1,OTHER_GOV
NCT01541657,OTHER;NIH,3,United States,1,OTHER
NCT00420186,INDUSTRY,0,United States;Canada;United Kingdom,3,INDUSTRY
NCT01169558,INDUSTRY,0,Brazil,1,INDUSTRY
