nct_id,sponsor_types,num_collaborators,countries,num_countries,lead_sponsor_type
NCT03674008,INDUSTRY,0,China,1,INDUSTRY
NCT02104076,INDUSTRY,0,United States;Canada;France;Netherlands,4,INDUSTRY
NCT03480152,NIH,0,United States,1,NIH
NCT01962038,OTHER;FED,1,United States,1,OTHER
NCT01165905,INDUSTRY,0,United States,1,INDUSTRY
NCT00602498,INDUSTRY,0,United States,1,INDUSTRY
NCT00003022,OTHER;NIH,1,United States,1,OTHER
NCT03173651,OTHER,0,,0,OTHER
NCT05072639,OTHER,0,United States,1,OTHER
NCT01886326,OTHER;FED,1,United States,1,OTHER
NCT00469781,OTHER,0,United States,1,OTHER
NCT02246920,INDUSTRY,0,United States,1,INDUSTRY
NCT05350137,OTHER,0,China,1,OTHER
NCT01702363,INDUSTRY,0,Japan,1,INDUSTRY
NCT00529373,INDUSTRY,0,,0,INDUSTRY
NCT01482754,OTHER,0,Singapore,1,OTHER
NCT00414557,OTHER;UNKNOWN,2,Australia,1,OTHER
NCT03939793,OTHER,1,United States,1,OTHER
NCT02396550,OTHER,0,Spain,1,OTHER
